City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,weno,7.4515,151.8468,26.97,83,40,0.0,FM,1731267653
132,thompson,55.7435,-97.8558,-0.91,74,100,1.54,CA,1731267654
133,kodiak,57.79,-152.4072,3.73,87,100,8.75,US,1731267656
134,verkhniy baskunchak,48.2256,46.7217,5.74,78,99,1.59,RU,1731267657
135,madera,37.1666,-119.8343,24.37,24,100,2.03,US,1731267377
136,ciudad lazaro cardenas,17.9583,-102.2,29.52,68,68,4.04,MX,1731267659
137,kitimat,54.0524,-128.6534,2.6,99,98,1.67,CA,1731267660
138,ulladulla,-35.35,150.4667,16.66,72,100,0.91,AU,1731267661
139,sitka,57.0531,-135.33,8.94,53,75,10.29,US,1731267662
140,pangody,65.85,74.4859,-10.1,93,100,10.02,RU,1731267664
141,taulaga,-11.0553,-171.0883,28.56,74,78,7.84,AS,1731267665
142,nuku'alofa,-21.1333,-175.2,24.19,88,75,4.12,TO,1731267666
143,atherton,53.5237,-2.4935,11.23,96,88,0.45,GB,1731267667
144,ribeira grande,38.5167,-28.7,20.43,83,40,8.23,PT,1731267668
145,knezevo,44.4908,17.3775,-1.12,78,6,0.9,BA,1731267670
146,fort mcmurray,56.7268,-111.381,1.77,69,100,5.14,CA,1731267671
147,jamestown,42.097,-79.2353,9.45,95,100,5.66,US,1731267489
148,tiksi,71.6872,128.8694,-19.56,100,82,1.51,RU,1731267427
149,fethiye,36.6217,29.1164,15.76,70,100,2.06,TR,1731267674
150,saint-louis du nord,19.9333,-72.7167,28.33,78,48,7.42,HT,1731267675
151,gizo,-8.103,156.8419,27.64,76,18,2.37,SB,1731267677
152,serowe,-22.3833,26.7167,22.53,69,100,2.0,BW,1731267678
153,viedma,-40.8135,-62.9967,19.11,22,100,2.44,AR,1731267023
154,stanley,54.868,-1.6985,8.07,87,0,3.09,GB,1731267680
155,eirunepe,-6.6603,-69.8736,34.32,43,93,1.24,BR,1731267682
156,cabinda,-5.55,12.2,27.08,83,75,2.06,AO,1731267684
157,port elizabeth,-33.918,25.5701,16.29,91,20,2.06,ZA,1731267685
158,buulobarde,3.8538,45.5674,26.48,73,39,5.11,SO,1731267686
159,sur,22.5667,59.5289,26.61,58,0,0.25,OM,1731267618
160,kapuskasing,49.4169,-82.4331,7.05,81,100,3.09,CA,1731267688
161,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,80,100,1.0,RU,1731267689
162,dhuusamarreeb,5.535,46.3861,26.92,57,95,6.63,SO,1731267691
163,port saint john's,-31.6229,29.5448,18.14,92,100,0.41,ZA,1731267692
164,mccook,40.2019,-100.6257,17.02,55,0,4.63,US,1731267693
165,etampes,48.4333,2.15,9.73,90,65,3.0,FR,1731267694
166,zhosaly,45.4878,64.0781,6.97,79,100,8.92,KZ,1731267695
167,colonia,50.9333,6.95,10.54,88,100,1.03,DE,1731267414
168,celestun,20.8667,-90.4,28.53,73,100,4.48,MX,1731267698
169,timimoun,29.2639,0.231,23.66,31,3,6.43,DZ,1731267699
170,brush,40.2589,-103.6238,15.57,51,0,4.12,US,1731267700
171,camana,-16.6228,-72.7111,20.22,75,37,3.2,PE,1731267701
172,guerrero negro,27.9769,-114.0611,24.37,30,95,2.66,MX,1731267702
173,tavricheskoye,54.5851,73.6395,-7.21,91,77,4.53,RU,1731267705
174,darwin,-12.4611,130.8418,25.99,83,100,1.03,AU,1731267706
175,muravlenko,63.7898,74.523,-16.96,99,92,3.76,RU,1731267707
